device
24-7 EVO
86
A10
A19
A6
A7
A8
A8 Plus
A8 Plus F5
A8 Plus+
A8 Ultra
A8 Ultra Pro
A8 plus
A8 ultra
A80
A8mini
ACTIVE 1
ADYFHK IS8 ultra
AFTWS-0521_LE
AFWG0720
AFWG0721
AK01
ALTSWAT1BLK
ALTSWAT2BLK
ALTSWATCALLBK
AM01
AM01J
AM01S
AM02CE
AM02J
AM02S
AM05
AM05L
AM05LE
AM06
AM07
AM08
AM09
AM10A
AM10B
AM11
AM12
AM13
AM18
AM19
AMMO
AMPM-215
AMPM-216
AMPM-217
AMPM-218
ANUDHA
ARMODD Sil3GPS
AT803T
AT806
AUKEY LS02 PRO
AUKEY SW-1
AW-S006
AW12
AW28
AW32
AW37
AW46
AW47
AW50
AW51
AWEI H27
AWEI Watch
AWS115
AWSAM05
AWSF13B
AWSF25
AWSF6
AWSFR19
AWSR10
AWSR13
Abyx-Fit-8
AceFit
Active 3 Pro
Active Pro
Active_LE
Aerosmart F
Aerosmart F Pro
Aerosmart R
Air 4
Air10
Air3
Air4
Air5
Air5PRO
Air8
AirX
Amazon
Apollo W1
B06
B1
B2
B8
B9
B9C
BC-1
BSW013
BSW015
BeFit Watch Ultra 1
BeFit Watch Ultra 2
Beat 5
BeatExtrem
BeatXP Flare
BeatXP Flux
BeatXP Marv Ultra
BeatXP Marv-Ace
BeatXP Terra
BeatXP Unbound Curv
BeatXP Unbound Nova
BeatXP Vega Neo
Black Shark GS3
Black Shark GT3
Black Shark GT3 Neo
Black Shark S1
Black Shark S1 Classic
Black Shark S1 Lite
Black Shark S1 Pro
Boult Watch RI
Boult Watch SD
C30
C70
CA07
CB-ATLAS
CB-ORBIT
CGWatch Classic
CGWatch Round
CGWatch Sport
CH08
CJ08
CONEKT Race 1i
CT-S2
CURREN R2S
CURREN R3 PRO
CURREN S1
CURVE 9
CY500
Call Watch
Capri
ColorFit Hexa
Core Ultra
Cosmic X
Curv
Curve
D-Chain
D12C
D3C
D4PRO AMOLED
DANX-DR10
DANX-DR20
DANX-DR30
DANX-DR40
DANX-DR50
DCW-01
DH PRO
DIZO Watch R2
DOM 3
DSMART A8U
DSMART F3P
DSMART R16
DUBAI
DV05
DV06
DV07
DV08
DW01
DW05
DW07
ECKO-TECH
ELEVATEPRO_
ENFIT PRO
ERA ARMY EROS
ERA CLASS
ERA DAY
ERA DAY LINE
ERA ONE LITE
ERAFIT-BTC
ERATACTIC-BTC
Edyson
Edyson 3
Edyson3
Elite 4
Eon+
EraOne
Exk Vip
Explor_LE
Explore_LE
F1
F10
F11
F12
F12Pro
F13
F13A
F13B
F13S
F17
F18
F18Plus
F18Pro
F1N
F1R
F1RT
F2
F2 Pro
F23
F23C
F24
F24 R5
F25
F26
F27
F28
F29 Pro
F2C
F2D
F2K
F2R
F3
F3 Plus
F3 Pro
F30
F32
F33
F34
F3B
F3C
F3D_LE
F3R
F3_LE
F5
F6
